customer_id,surname,credit_score,geography,gender,age,tenure,balance,num_of_products,estimated_salary,has_credit_card,is_active_member,exited,age_group,balance_category,credit_tier,salary_quartile,customer_value_score,is_high_value
15634602,Hargrave,619,France,Female,42,2,0.0,1,101348.88,True,True,True,36-45,Zero,Fair,Q3,15.13,False
15647311,Hill,608,Spain,Female,41,1,83807.86,1,112542.58,False,True,False,36-45,Medium,Fair,Q3,25.45,False
15619304,Onio,502,France,Female,42,8,159660.8,3,113931.57,True,False,True,36-45,High,Poor,Q3,67.0,True
15701354,Boni,699,France,Female,39,1,0.0,2,93826.63,False,False,False,36-45,Zero,Good,Q2,18.55,False
15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,79084.1,True,True,False,36-45,High,Excellent,Q2,30.42,False
15574012,Chu,645,Spain,Male,44,8,113755.78,2,149756.71,True,False,True,36-45,High,Fair,Q4,57.51,True
15592531,Bartlett,822,France,Male,50,7,0.0,2,10062.8,True,True,False,46-55,Zero,Excellent,Q1,25.17,False
15656148,Obinna,376,Germany,Female,29,4,115046.74,4,119346.88,True,False,True,26-35,High,Poor,Q3,57.98,True
15792365,He,501,France,Male,44,4,142051.07,2,74940.5,False,True,False,36-45,High,Poor,Q2,43.98,False
15592389,H?,684,France,Male,27,2,134603.88,1,71725.73,True,True,False,26-35,High,Good,Q2,30.95,False
15767821,Bearce,528,France,Male,31,6,102016.72,2,80181.12,False,False,False,26-35,High,Poor,Q2,43.92,False
15737173,Andrews,497,Spain,Male,24,3,0.0,2,76390.01,True,False,False,18-25,Zero,Poor,Q2,21.81,False
15632264,Kay,476,France,Female,34,10,0.0,2,26260.98,True,False,False,26-35,Zero,Poor,Q1,34.29,False
15691483,Chin,549,France,Female,25,5,0.0,2,190857.79,False,False,False,18-25,Zero,Poor,Q4,38.25,False
15600882,Scott,635,Spain,Female,35,7,0.0,2,65951.65,True,True,False,26-35,Zero,Fair,Q2,30.76,False
15643966,Goforth,616,Germany,Male,45,3,143129.41,2,64327.26,False,True,False,36-45,High,Fair,Q2,40.57,False
15737452,Romeo,653,Germany,Male,58,1,132602.88,1,5097.67,True,False,True,56+,High,Fair,Q1,21.51,False
15788218,Henderson,549,Spain,Female,24,9,0.0,2,14406.41,True,True,False,18-25,Zero,Poor,Q1,30.61,False
15661507,Muldrow,587,Spain,Male,45,6,0.0,1,158684.81,False,False,False,36-45,Zero,Fair,Q4,30.87,False
15568982,Hao,726,France,Female,24,6,0.0,2,54724.03,True,True,False,18-25,Zero,Good,Q2,27.14,False
15577657,McDonald,732,France,Male,41,8,0.0,2,170886.17,True,True,False,36-45,Zero,Good,Q4,43.76,False
15597945,Dellucci,636,Spain,Female,32,8,0.0,2,138555.46,True,False,False,26-35,Zero,Fair,Q3,40.52,False
15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,118913.53,True,False,True,36-45,Zero,Poor,Q3,21.89,False
15725737,Mosman,669,France,Male,46,3,0.0,2,8487.75,False,True,False,46-55,Zero,Fair,Q1,15.01,False
15625047,Yen,846,France,Female,38,5,0.0,1,187616.16,True,True,False,36-45,Zero,Excellent,Q4,31.26,False
15738191,Maclean,577,France,Male,25,3,0.0,2,124508.29,False,True,False,18-25,Zero,Poor,Q3,26.62,False
15736816,Young,756,Germany,Male,36,2,136815.64,1,170041.95,True,True,False,36-45,High,Excellent,Q4,41.09,False
15700772,Nebechi,571,France,Male,44,9,0.0,2,38433.35,False,False,False,36-45,Zero,Poor,Q1,33.01,False
15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,100187.43,True,True,False,36-45,High,Poor,Q2,37.24,False
15656300,Lucciano,411,France,Male,29,0,59697.17,2,53483.21,True,True,False,26-35,Medium,Poor,Q2,20.34,False
15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,140469.38,True,False,True,36-45,Zero,Fair,Q3,34.88,False
15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,156731.91,False,True,False,36-45,Medium,Poor,Q4,45.07,False
15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,81898.81,False,False,False,36-45,High,Poor,Q2,52.72,True
15659428,Maggard,520,Spain,Female,42,6,0.0,2,34410.55,True,True,False,36-45,Zero,Poor,Q1,25.11,False
15732963,Clements,722,Spain,Female,29,9,0.0,2,142033.07,True,True,False,26-35,Zero,Good,Q3,43.37,False
15794171,Lombardo,475,France,Female,45,0,134264.04,1,27822.99,True,False,True,36-45,High,Poor,Q1,21.51,False
15788448,Watson,490,Spain,Male,31,3,145260.23,1,114066.77,False,True,False,26-35,High,Poor,Q3,39.17,False
15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,98453.45,False,True,False,26-35,Medium,Excellent,Q2,38.02,False
15717426,Armstrong,850,France,Male,36,7,0.0,1,40812.9,True,True,False,36-45,Zero,Excellent,Q1,21.58,False
15585768,Cameron,582,Germany,Male,41,6,70349.48,2,178074.04,False,True,False,36-45,Medium,Fair,Q4,49.29,True
15619360,Hsiao,472,Spain,Male,40,4,0.0,1,70154.22,True,False,False,36-45,Zero,Poor,Q2,17.01,False
15738148,Clarke,465,France,Female,51,8,122522.32,1,181297.65,False,False,True,46-55,High,Poor,Q4,55.22,True
15687946,Osborne,556,France,Female,61,2,117419.35,1,94153.83,True,True,False,56+,High,Poor,Q2,30.79,False
15755196,Lavine,834,France,Female,49,2,131394.56,1,194365.76,False,False,True,46-55,High,Excellent,Q4,42.77,False
15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,158338.39,True,True,False,56+,High,Fair,Q4,50.09,True
15754849,Tyler,776,Germany,Female,32,4,109421.13,2,126517.46,True,True,False,26-35,High,Excellent,Q3,44.58,False
15602280,Martin,829,Germany,Female,27,9,112045.67,1,119708.21,True,True,True,26-35,High,Excellent,Q3,50.1,True
15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,117622.8,True,True,True,36-45,High,Fair,Q3,53.49,True
15766205,Yin,550,Germany,Male,38,2,103391.38,1,90878.13,False,True,False,36-45,High,Poor,Q2,28.51,False
15771873,Buccho,776,Germany,Female,37,2,103769.22,2,194099.12,True,False,False,36-45,High,Excellent,Q4,45.55,True
15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,198059.16,True,False,False,36-45,High,Good,Q4,67.71,True
15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,86424.57,False,False,False,36-45,High,Fair,Q2,48.18,True
15683553,O'Brien,788,France,Female,33,5,0.0,2,116978.19,False,False,False,26-35,Zero,Excellent,Q3,30.86,False
15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,164040.94,False,False,True,36-45,High,Fair,Q4,53.92,True
15569590,Yoo,601,Germany,Male,42,1,98495.72,1,40014.76,True,False,True,36-45,Medium,Fair,Q1,20.24,False
15760861,Phillipps,619,France,Male,43,1,125211.92,1,113410.49,True,True,False,36-45,High,Fair,Q3,31.31,False
15630053,Tsao,656,France,Male,45,5,127864.4,1,87107.57,True,False,False,36-45,High,Fair,Q2,39.05,False
15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,45613.75,False,False,False,18-25,Medium,Good,Q1,15.15,False
15623944,T'ien,511,Spain,Female,66,4,0.0,1,1643.11,True,False,True,56+,Zero,Poor,Q1,10.16,False
15804771,Velazquez,614,France,Male,51,4,40685.92,1,46775.28,True,True,False,46-55,Low,Fair,Q1,20.35,False
15651280,Hunter,742,Germany,Male,35,5,136857.0,1,84509.57,False,False,False,26-35,High,Excellent,Q2,40.04,False
15773469,Clark,687,Germany,Female,27,9,152328.88,2,126494.82,False,False,False,26-35,High,Good,Q3,63.07,True
15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,178798.13,False,False,False,26-35,Medium,Poor,Q4,34.87,False
15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,99398.36,True,True,False,56+,Medium,Good,Q2,40.92,False
15592461,Jackson,603,Germany,Male,26,4,109166.37,1,92840.67,True,True,False,26-35,High,Fair,Q2,34.51,False
15789484,Hammond,751,Germany,Female,36,6,169831.46,2,27758.36,True,True,False,36-45,High,Excellent,Q1,48.13,True
15696061,Brownless,581,Germany,Female,34,1,101633.04,1,110431.51,True,False,False,26-35,High,Fair,Q3,27.72,False
15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,196673.28,True,True,False,36-45,High,Good,Q4,68.52,True
15638424,Glauert,661,Germany,Female,35,5,150725.53,2,113656.85,False,True,False,26-35,High,Fair,Q3,51.56,True
15755648,Pisano,675,France,Female,21,8,98373.26,1,18203.0,True,False,False,18-25,Medium,Good,Q1,35.54,False
15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,28373.86,True,False,True,56+,High,Good,Q1,46.49,True
15620344,McKee,813,France,Male,29,6,0.0,1,33953.87,True,False,False,26-35,Zero,Excellent,Q1,18.39,False
15812518,Palermo,657,Spain,Female,37,0,163607.18,1,44203.55,False,True,False,36-45,High,Fair,Q1,27.24,False
15779052,Ballard,604,Germany,Female,25,5,157780.84,2,58426.81,True,True,False,18-25,High,Fair,Q2,47.02,True
15770811,Wallace,519,France,Male,36,9,0.0,2,145562.4,False,True,False,36-45,Zero,Poor,Q3,43.72,False
15780961,Cavenagh,735,France,Female,21,1,178718.19,2,22388.0,True,False,False,18-25,High,Good,Q1,36.34,False
15614049,Hu,664,France,Male,55,8,0.0,2,139161.64,True,True,False,46-55,Zero,Fair,Q3,40.58,False
15662085,Read,678,France,Female,32,9,0.0,1,148210.64,True,True,False,26-35,Zero,Good,Q3,37.32,False
15575185,Bushell,757,Spain,Male,33,5,77253.22,1,194239.63,False,True,False,26-35,Medium,Excellent,Q4,42.7,False
15803136,Postle,416,Germany,Female,41,10,122189.66,2,98301.61,True,False,False,36-45,High,Poor,Q2,58.54,True
15706021,Buley,665,France,Female,34,1,96645.54,2,171413.66,False,False,False,26-35,Medium,Fair,Q4,39.79,False
15663706,Leonard,777,France,Female,32,2,0.0,1,136458.19,True,False,True,26-35,Zero,Excellent,Q3,18.65,False
15641732,Mills,543,France,Female,36,3,0.0,2,26019.59,False,False,False,36-45,Zero,Poor,Q1,16.77,False
15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,159235.29,True,True,False,26-35,Medium,Poor,Q4,38.52,False
15738751,Beit,493,France,Female,46,4,0.0,2,1907.66,True,False,False,46-55,Zero,Poor,Q1,16.86,False
15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,114675.75,True,True,False,56+,Zero,Fair,Q3,43.13,False
15762418,Gant,750,Spain,Male,22,3,121681.82,1,128643.35,True,False,True,18-25,High,Excellent,Q3,37.34,False
15625759,Rowley,729,France,Male,30,9,0.0,2,151869.35,True,False,False,26-35,Zero,Good,Q4,44.35,False
15622897,Sharpe,646,France,Female,46,4,0.0,3,93251.42,True,False,True,46-55,Zero,Fair,Q2,32.66,False
15767954,Osborne,635,Germany,Female,28,3,81623.67,2,156791.36,True,True,False,26-35,Medium,Fair,Q4,41.23,False
15757535,Heap,647,Spain,Female,44,5,0.0,3,174205.22,True,True,True,36-45,Zero,Fair,Q4,43.25,False
15731511,Ritchie,808,France,Male,45,7,118626.55,2,147132.46,True,False,False,36-45,High,Excellent,Q3,55.43,True
15809248,Cole,524,France,Female,36,10,0.0,2,109614.57,True,False,False,36-45,Zero,Poor,Q3,42.63,False
15640635,Capon,769,France,Male,29,8,0.0,2,172290.61,True,True,False,26-35,Zero,Excellent,Q4,43.9,False
15676966,Capon,730,Spain,Male,42,4,0.0,2,85982.47,False,True,False,36-45,Zero,Good,Q2,25.26,False
15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,121277.78,False,True,False,26-35,High,Poor,Q3,61.72,True
15738721,Graham,773,Spain,Male,41,9,102827.44,1,64595.25,False,True,False,36-45,High,Excellent,Q2,43.3,False
15693683,Yuille,814,Germany,Male,29,8,97086.4,2,197276.13,True,True,False,26-35,Medium,Excellent,Q4,59.94,True
